Country;HS Number;Date from;Date to;Lang 1;Desc 1;Desc 2;Desc 3;Desc 4;Desc 5;Desc 6;Desc 7;Lang 2;Desc 21;Desc 22;Desc 23;Desc 24;Desc 25;Desc 26;Desc 27;Unit of measure;Restriction code;Rate type;Champ24;Champ25;Base rate %;Rate amount;Rate curr;Rate qty;Rate qty uom;Spec App;Cert Ori;Cty Grp
MX;281910;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Chromium oxides and hydroxides.------Chromium trioxide;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Chromium oxides and hydroxides.------Chromium trioxide;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;281990;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Chromium oxides and hydroxides.---Other---Other;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Chromium oxides and hydroxides.---Other---Other;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282010;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Manganese oxides.------Manganese dioxide;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Manganese oxides.------Manganese dioxide;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282090;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Manganese oxides.---Other---Other;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Manganese oxides.---Other---Other;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282110;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Iron oxides and hydroxides. earth colours containing 70 % or more by weight of combined iron evaluated as Fe2O3.------Iron oxides and hydroxides---Iron oxides, other than those included in section 2821.10.04.03.;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Iron oxides and hydroxides. earth colours containing 70 % or more by weight of combined iron evaluated as Fe2O3.------Iron oxides and hydroxides---Iron oxides, other than those included in section 2821.10.04.03.;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282120;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Iron oxides and hydroxides. earth colours containing 70 % or more by weight of combined iron evaluated as Fe2O3.------Earth colours;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Iron oxides and hydroxides. earth colours containing 70 % or more by weight of combined iron evaluated as Fe2O3.------Earth colours;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282200;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Cobalt oxides and hydroxides. commercial cobalt oxides.------Cobalt oxides and hydroxides. commercial cobalt oxides.;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Cobalt oxides and hydroxides. commercial cobalt oxides.------Cobalt oxides and hydroxides. commercial cobalt oxides.;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282300;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Titanium oxides.------Titanium oxides.;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Titanium oxides.------Titanium oxides.;;;;;;;KG;;_DMX11;20240101;99991231;7;0;;;;;;
MX;282410;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Lead oxides. red lead and orange lead.------Lead monoxide (litharge, massicot);;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Lead oxides. red lead and orange lead.------Lead monoxide (litharge, massicot);;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
MX;282490;20240101;99991231;EN;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Lead oxides. red lead and orange lead.---Other---Other;;;;;;;ES;Inorganic chemicals. organic or inorganic compounds of precious metals, of rare-earth metals,of radioactive elements or of isotopes---Lead oxides. red lead and orange lead.---Other---Other;;;;;;;KG;;_DMX11;20240101;99991231;0;0;;;;;;
